freqs,amp_real,amp_imag,hot_real,hot_imag,cold_real,cold_imag,sa_hot_0,sa_hot_1,sa_hot_2,sa_hot_3,sa_hot_4,sa_cold_0,sa_cold_1,sa_cold_2,sa_cold_3,sa_cold_4,dut_hot_0,dut_hot_1,dut_hot_2,dut_hot_3,dut_hot_4,dut_cold_0,dut_cold_1,dut_cold_2,dut_cold_3,dut_cold_4
1472000000.0,0.13513497381271997,-0.1190354203772181,-0.008461398744396737,-0.011635359646872914,0.005100531335940418,-0.016132419239998624,-99.21386719,-99.21386719,-99.22851562,-99.23339844,-99.24804688,-100.2246094,-100.2490234,-100.234375,-100.2539062,-100.234375,-60.10742188,-60.09277344,-60.10742188,-60.09765625,-60.078125,-65.33203125,-65.30761719,-65.33203125,-65.30273438,-65.30273438
1474000000.0,0.1338705509531044,-0.12155182797633404,-0.00852397038793974,-0.011668362435520723,0.005131761430742558,-0.017660306847516984,-99.16015625,-99.23828125,-99.20898438,-99.21875,-99.24804688,-100.1757812,-100.1904297,-100.2099609,-100.2246094,-100.2294922,-60.07324219,-60.10742188,-60.1171875,-60.07324219,-60.10253906,-65.30761719,-65.2734375,-65.2734375,-65.2734375,-65.29296875
1476000000.0,0.1337014416748017,-0.12399967336403317,-0.008593303903483566,-0.011700779541454475,0.004954145530391671,-0.01922015425469435,-99.23828125,-99.19433594,-99.22363281,-99.22363281,-99.23339844,-100.2636719,-100.1953125,-100.234375,-100.2441406,-100.234375,-60.09277344,-60.13183594,-60.08789062,-60.10742188,-60.13183594,-65.33203125,-65.32714844,-65.27832031,-65.28320312,-65.29296875
1478000000.0,0.13481918694804645,-0.12468348454395174,-0.00866175703421046,-0.011727574364023372,0.004573851152376476,-0.020770752576223236,-99.2578125,-99.20410156,-99.21386719,-99.21386719,-99.20898438,-100.234375,-100.2050781,-100.2636719,-100.2832031,-100.2392578,-60.12207031,-60.06835938,-60.10742188,-60.10742188,-60.09765625,-65.30761719,-65.27832031,-65.28320312,-65.33203125,-65.28320312
1480000000.0,0.13474293209241084,-0.1269881527408421,-0.008725172818235859,-0.011755826316561446,0.0039909392273642305,-0.022296242140728464,-99.21875,-99.20410156,-99.19921875,-99.20410156,-99.20898438,-100.1855469,-100.2197266,-100.2490234,-100.2636719,-100.2099609,-60.11230469,-60.11230469,-60.07324219,-60.13183594,-60.13183594,-65.30273438,-65.28320312,-65.29785156,-65.32714844,-65.3125
1482000000.0,0.13544345120315304,-0.1302000602249128,-0.008788477354583208,-0.011786220138994765,0.0032082320474016153,-0.023763755148085243,-99.22851562,-99.19433594,-99.20898438,-99.21875,-99.24316406,-100.2197266,-100.2294922,-100.2636719,-100.2392578,-100.2441406,-60.12207031,-60.10742188,-60.12207031,-60.12207031,-60.08789062,-65.33691406,-65.33691406,-65.30273438,-65.30273438,-65.32714844
1484000000.0,0.13419590947247484,-0.13166366108614821,-0.008862306275370204,-0.011815878893084185,0.002235957208594217,-0.025155747550830544,-99.19433594,-99.22851562,-99.20410156,-99.20898438,-99.22851562,-100.1904297,-100.2050781,-100.2392578,-100.1855469,-100.2001953,-60.10253906,-60.09765625,-60.1171875,-60.09765625,-60.08789062,-65.33203125,-65.33691406,-65.25878906,-65.32226562,-65.30761719
1486000000.0,0.1343012797722244,-0.1338455832896316,-0.008929702053141784,-0.011844045081920596,0.0010850387514826807,-0.0264382504188629,-99.22851562,-99.24316406,-99.20898438,-99.19921875,-99.24316406,-100.234375,-100.2246094,-100.2441406,-100.2392578,-100.2148438,-60.10253906,-60.078125,-60.1171875,-60.12695312,-60.11230469,-65.34179688,-65.31738281,-65.3125,-65.33203125,-65.33203125
1488000000.0,0.13402834226520577,-0.13578979732676638,-0.008994932094371149,-0.011872800928362867,-0.00022968352297183644,-0.027599874811745084,-99.21875,-99.19921875,-99.19433594,-99.22851562,-99.16503906,-100.1953125,-100.2246094,-100.2587891,-100.1806641,-100.234375,-60.10742188,-60.1171875,-60.15625,-60.09277344,-60.10253906,-65.3515625,-65.31738281,-65.35644531,-65.34179688,-65.34667969
1490000000.0,0.13433344932240837,-0.13727472388511153,-0.009063585944938958,-0.011903513244649796,-0.0016855297437536805,-0.0286098618015745,-99.26269531,-99.22851562,-99.19921875,-99.25292969,-99.19921875,-100.2099609,-100.2490234,-100.2099609,-100.2197266,-100.2392578,-60.13183594,-60.09277344,-60.12207031,-60.12695312,-60.12207031,-65.34667969,-65.32226562,-65.3125,-65.33203125,-65.33203125
